trial_id,scenario,git_commit,git_dirty,uav_count,agent_ids,sysids,requests,accepted,rejected,availability,rejection_age,rejection_clock,rejection_uncertainty,rejection_frame,rejection_session,rejection_health,other_rejections,certificates,persisted_replays,replay_agreements,replay_disagreements,frames_received,frames_delayed,frames_dropped,reorder_events,restart_events,old_epoch_frames_injected,old_epoch_frames_accepted,e2_requests_before_new_clock,e2_accepts_before_new_clock,e2_clock_reestablishments,mean_speed_mps,max_speed_mps,mean_age_ms,max_age_ms,mean_propagated_uncertainty_m,max_propagated_uncertainty_m,sitl_truth_available
s1-trial-0,delayed_telemetry,e375c24d23ee5ee10d7740435029fa0196e96e18,true,3,"sitl-agent-1;sitl-agent-2;sitl-agent-3","1;2;3",20,20,0,1,0,0,0,0,0,0,0,20,20,20,0,3,3,0,0,0,0,0,0,0,0,0.086746700922224987,0.098994949787585135,572.0333333333333,794,5.1874549543674,7.0839389857030488,false
s1-trial-1,delayed_telemetry,e375c24d23ee5ee10d7740435029fa0196e96e18,true,3,"sitl-agent-1;sitl-agent-2;sitl-agent-3","1;2;3",20,20,0,1,0,0,0,0,0,0,0,20,20,20,0,6,6,0,0,0,0,0,0,0,0,0.055940859423516766,0.072111023897472759,548.98333333333335,764,4.9905156680378315,6.8276188733435221,false
s1-trial-2,delayed_telemetry,e375c24d23ee5ee10d7740435029fa0196e96e18,true,3,"sitl-agent-1;sitl-agent-2;sitl-agent-3","1;2;3",20,11,9,0.55000000000000004,9,0,0,0,0,0,9,11,20,20,0,6,6,0,0,0,0,0,0,0,0,0.60879775374629663,0.91547799119583906,700.75757575757575,981,6.287275363753289,8.6816676860774269,false
s1-trial-3,delayed_telemetry,e375c24d23ee5ee10d7740435029fa0196e96e18,true,3,"sitl-agent-1;sitl-agent-2;sitl-agent-3","1;2;3",20,20,0,1,0,0,0,0,0,0,0,20,20,20,0,6,6,0,0,0,0,0,0,0,0,2.0744400023190357,2.6596615537109116,514.33333333333337,734,4.6944659382625797,6.5712987609839963,false
s1-trial-4,delayed_telemetry,e375c24d23ee5ee10d7740435029fa0196e96e18,true,3,"sitl-agent-1;sitl-agent-2;sitl-agent-3","1;2;3",20,20,0,1,0,0,0,0,0,0,0,20,20,20,0,5,5,0,0,0,0,0,0,0,0,2.6801538141145524,2.8211344935375631,536.98333333333335,878,4.8879876230940216,7.8016353003097203,false
s1-trial-5,delayed_telemetry,e375c24d23ee5ee10d7740435029fa0196e96e18,true,3,"sitl-agent-1;sitl-agent-2;sitl-agent-3","1;2;3",20,20,0,1,0,0,0,0,0,0,0,20,20,20,0,5,5,0,0,0,0,0,0,0,0,2.9696256382143433,3.0251114755692865,517.11666666666667,736,4.7182467486870472,6.5883867684746313,false
s1-trial-6,delayed_telemetry,e375c24d23ee5ee10d7740435029fa0196e96e18,true,3,"sitl-agent-1;sitl-agent-2;sitl-agent-3","1;2;3",20,20,0,1,0,0,0,0,0,0,0,20,20,20,0,6,6,0,0,0,0,0,0,0,0,2.9680908795957066,3.0360664316424386,509.28333333333336,791,4.6513187193487244,7.0583069744670954,false
s1-trial-7,delayed_telemetry,e375c24d23ee5ee10d7740435029fa0196e96e18,true,3,"sitl-agent-1;sitl-agent-2;sitl-agent-3","1;2;3",20,20,0,1,0,0,0,0,0,0,0,20,20,20,0,4,4,0,0,0,0,0,0,0,0,3.0739925122171678,3.0986610256253568,490.41666666666669,767,4.4901218486870675,6.8532508845794746,false
s1-trial-8,delayed_telemetry,e375c24d23ee5ee10d7740435029fa0196e96e18,true,3,"sitl-agent-1;sitl-agent-2;sitl-agent-3","1;2;3",20,20,0,1,0,0,0,0,0,0,0,20,20,20,0,6,6,0,0,0,0,0,0,0,0,2.9981940920278616,3.0641965247473486,572.06666666666672,824,5.1877397544922434,7.3402590980625737,false
s1-trial-9,delayed_telemetry,e375c24d23ee5ee10d7740435029fa0196e96e18,true,3,"sitl-agent-1;sitl-agent-2;sitl-agent-3","1;2;3",20,20,0,1,0,0,0,0,0,0,0,20,20,20,0,6,6,0,0,0,0,0,0,0,0,2.0217621223412374,2.544209142108167,500.39999999999998,767,4.5754194860778217,6.8532508845794746,false
s2-trial-0,agent_restart_delayed_old_epoch,e375c24d23ee5ee10d7740435029fa0196e96e18,true,3,"sitl-agent-1;sitl-agent-2;sitl-agent-3","1;2;3",20,0,20,0,0,11,0,0,0,0,20,0,20,20,0,6,0,0,0,1,5,0,20,0,0,0.014714044879025778,0.019999999552965164,0,0,0,0,false
s2-trial-1,agent_restart_delayed_old_epoch,e375c24d23ee5ee10d7740435029fa0196e96e18,true,3,"sitl-agent-1;sitl-agent-2;sitl-agent-3","1;2;3",20,20,0,1,0,0,0,0,0,0,0,20,20,20,0,6,0,0,0,0,0,0,0,0,0,0.015656853899534418,0.019999999552965164,396.75,628,3.6898334978756595,5.6656343639803382,false
s2-trial-2,agent_restart_delayed_old_epoch,e375c24d23ee5ee10d7740435029fa0196e96e18,true,3,"sitl-agent-1;sitl-agent-2;sitl-agent-3","1;2;3",20,20,0,1,0,0,0,0,0,0,0,20,20,20,0,6,0,0,0,0,0,0,0,0,0,0.013047378249612015,0.019999999552965164,368.18333333333334,574,3.4457597908844226,5.2042581617331907,false
s2-trial-3,agent_restart_delayed_old_epoch,e375c24d23ee5ee10d7740435029fa0196e96e18,true,3,"sitl-agent-1;sitl-agent-2;sitl-agent-3","1;2;3",20,20,0,1,0,0,0,0,0,0,0,20,20,20,0,6,0,0,0,0,0,0,0,0,0,0.01853553349163127,0.019999999552965164,391.30000000000001,606,3.643268677463678,5.4776662815833523,false
s2-trial-4,agent_restart_delayed_old_epoch,e375c24d23ee5ee10d7740435029fa0196e96e18,true,3,"sitl-agent-1;sitl-agent-2;sitl-agent-3","1;2;3",20,20,0,1,0,0,0,0,0,0,0,20,20,20,0,6,0,0,0,0,0,0,0,0,0,0.017656853854830935,0.019999999552965164,410.61666666666667,631,3.8083103498107298,5.6912663752162906,false
s2-trial-5,agent_restart_delayed_old_epoch,e375c24d23ee5ee10d7740435029fa0196e96e18,true,3,"sitl-agent-1;sitl-agent-2;sitl-agent-3","1;2;3",20,20,0,1,0,0,0,0,0,0,0,20,20,20,0,6,0,0,0,0,0,0,0,0,0,0.017656853854830935,0.019999999552965164,386.63333333333333,775,3.6033966599855303,6.9216029145420155,false
s2-trial-6,agent_restart_delayed_old_epoch,e375c24d23ee5ee10d7740435029fa0196e96e18,true,3,"sitl-agent-1;sitl-agent-2;sitl-agent-3","1;2;3",20,20,0,1,0,0,0,0,0,0,0,20,20,20,0,8,0,0,0,0,0,0,0,0,0,0.018326324054297856,0.019999999552965164,380.03333333333336,574,3.547006235266434,5.2042581617331907,false
s2-trial-7,agent_restart_delayed_old_epoch,e375c24d23ee5ee10d7740435029fa0196e96e18,true,3,"sitl-agent-1;sitl-agent-2;sitl-agent-3","1;2;3",20,20,0,1,0,0,0,0,0,0,0,20,20,20,0,6,0,0,0,0,0,0,0,0,0,0.01853553349163127,0.019999999552965164,389.43333333333334,577,3.6273198704724194,5.229890172969144,false
s2-trial-8,agent_restart_delayed_old_epoch,e375c24d23ee5ee10d7740435029fa0196e96e18,true,3,"sitl-agent-1;sitl-agent-2;sitl-agent-3","1;2;3",20,20,0,1,0,0,0,0,0,0,0,20,20,20,0,6,0,0,0,0,0,0,0,0,0,0.018047378137853304,0.019999999552965164,387.03333333333336,583,3.6068142614836574,5.281154195441049,false
s2-trial-9,agent_restart_delayed_old_epoch,e375c24d23ee5ee10d7740435029fa0196e96e18,true,3,"sitl-agent-1;sitl-agent-2;sitl-agent-3","1;2;3",20,20,0,1,0,0,0,0,0,0,0,20,20,20,0,5,0,0,0,0,0,0,0,0,0,0.018047378137853304,0.019999999552965164,390.30000000000001,577,3.6347246737183609,5.229890172969144,false
s3-trial-0,high_speed_delayed_motion,e375c24d23ee5ee10d7740435029fa0196e96e18,true,3,"sitl-agent-1;sitl-agent-2;sitl-agent-3","1;2;3",20,20,0,1,0,0,0,0,0,0,0,20,20,20,0,4,4,0,0,0,0,0,0,0,0,0.016035533547510625,0.019999999552965164,590.18333333333328,808,5.3425286223449113,7.2035550381374938,false
s3-trial-1,high_speed_delayed_motion,e375c24d23ee5ee10d7740435029fa0196e96e18,true,3,"sitl-agent-1;sitl-agent-2;sitl-agent-3","1;2;3",20,20,0,1,0,0,0,0,0,0,0,20,20,20,0,6,6,0,0,0,0,0,0,0,0,0.043392030848886709,0.092195443926425744,570.23333333333335,803,5.1720757476258257,7.1608350194109063,false
s3-trial-2,high_speed_delayed_motion,e375c24d23ee5ee10d7740435029fa0196e96e18,true,3,"sitl-agent-1;sitl-agent-2;sitl-agent-3","1;2;3",20,20,0,1,0,0,0,0,0,0,0,20,20,20,0,5,5,0,0,0,0,0,0,0,0,0.65353447512696006,1.0860018311690602,443.25,654,4.0871296720329253,5.887778461358594,false
s3-trial-3,high_speed_delayed_motion,e375c24d23ee5ee10d7740435029fa0196e96e18,true,3,"sitl-agent-1;sitl-agent-2;sitl-agent-3","1;2;3",20,20,0,1,0,0,0,0,0,0,0,20,20,20,0,6,6,0,0,0,0,0,0,0,0,1.9082084979152423,2.5700193884217128,589.39999999999998,841,5.3358358194110798,7.485507161732972,false
s3-trial-4,high_speed_delayed_motion,e375c24d23ee5ee10d7740435029fa0196e96e18,true,3,"sitl-agent-1;sitl-agent-2;sitl-agent-3","1;2;3",20,20,0,1,0,0,0,0,0,0,0,20,20,20,0,3,3,0,0,0,0,0,0,0,0,3.0943535439556227,3.4266017549269261,487.83333333333331,729,4.4680498390116652,6.5285787422574089,false
s3-trial-5,high_speed_delayed_motion,e375c24d23ee5ee10d7740435029fa0196e96e18,true,3,"sitl-agent-1;sitl-agent-2;sitl-agent-3","1;2;3",20,20,0,1,0,0,0,0,0,0,0,20,20,20,0,6,6,0,0,0,0,0,0,0,0,4.2416247878133984,4.9099998474121094,544.5,909,4.9522100512463245,8.0664994164145636,false
s3-trial-6,high_speed_delayed_motion,e375c24d23ee5ee10d7740435029fa0196e96e18,true,3,"sitl-agent-1;sitl-agent-2;sitl-agent-3","1;2;3",20,20,0,1,0,0,0,0,0,0,0,20,20,20,0,6,6,0,0,0,0,0,0,0,0,5.0474317600609737,5.1244510710218414,553.31666666666672,799,5.0275396842675395,7.1266590044296363,false
s3-trial-7,high_speed_delayed_motion,e375c24d23ee5ee10d7740435029fa0196e96e18,true,3,"sitl-agent-1;sitl-agent-2;sitl-agent-3","1;2;3",20,20,0,1,0,0,0,0,0,0,0,20,20,20,0,6,6,0,0,0,0,0,0,0,0,5.8797459982196942,6.5135089055582691,455,677,4.1875217160404041,6.0842905475008973,false
s3-trial-8,high_speed_delayed_motion,e375c24d23ee5ee10d7740435029fa0196e96e18,true,3,"sitl-agent-1;sitl-agent-2;sitl-agent-3","1;2;3",20,18,2,0.90000000000000002,2,0,0,0,0,0,2,18,20,20,0,5,5,0,0,0,0,0,0,0,0,6.1996516608679144,6.4404966931100294,589.64814814814815,981,5.3379559981182529,8.6816676860774269,false
s3-trial-9,high_speed_delayed_motion,e375c24d23ee5ee10d7740435029fa0196e96e18,true,3,"sitl-agent-1;sitl-agent-2;sitl-agent-3","1;2;3",20,19,1,0.94999999999999996,1,0,0,0,0,0,1,19,20,20,0,5,5,0,0,0,0,0,0,0,0,5.7641769034194965,6.8041238528242252,577.0526315789474,824,5.2303398573767943,7.3402590980625737,false
